GEOID10_TRACT,mean_neighbor_score_updated,HSEF,P200_PFS,donut_hole_dac,donut_hole_dac_additional_constraints
20011955900,0.5,0.098949211908932,0.82,False,False
20125950800,0.6,0.102027679433537,0.44,False,False
20125951000,1.0,0.251623376623377,0.97,True,True
20209042502,0.8,,,False,False
20055960401,0.75,0.108003108003108,0.38,False,False
20021958400,0.4,0.076793957196811,0.52,False,False
20209045100,0.75,0.11358024691358,0.83,False,False
20035494000,0.75,0.168141592920354,0.8,False,False
20173001400,0.8333333333333334,0.054719059860448,0.33,False,False
20173002900,0.75,0.07292759706191,0.78,False,False
20173006100,0.75,0.180546726001271,0.89,False,False
36063021000,1.0,0.126310534198702,0.62,True,True
36085007700,0.8,0.190311418685121,0.63,False,False
36075021103,0.75,0.046750818139317,0.58,False,False
36055009400,1.0,0.240605720695457,0.85,True,True
36015000600,1.0,0.099541584806811,0.97,True,True
36061001401,1.0,0.04251012145749,0.14,True,True
36061021703,0.8333333333333334,0.0,0.0,False,False
36061021400,1.0,0.068745570517364,0.4,True,True
36061025500,0.6,0.17399658411614,0.55,False,False
36061028100,0.75,0.04463615903976,0.11,False,False
36061002602,0.8,0.125698324022346,0.51,False,False
36061031100,0.9473684210526315,,,True,True
36061025900,0.7777777777777778,0.071929177425304,0.59,False,False
36061023100,0.8571428571428571,0.210486750610787,0.64,True,True
36067002901,0.75,0.027851458885942,0.36,False,False
36047033500,0.75,0.111185983827493,0.64,False,False
36047055200,0.75,0.093787575150301,0.41,False,False
36047020400,0.8,0.138950480413895,0.32,False,False
36047036700,0.8571428571428571,0.268611670020121,0.42,True,False
36047037100,0.75,0.123213070115725,0.41,False,False
36047107800,0.8571428571428571,0.125244618395303,0.47,True,False
36047081000,0.75,0.10733137829912,0.57,False,False
36047048500,0.8888888888888888,0.117159763313609,0.52,True,True
36047039600,1.0,0.086391437308869,0.54,True,True
36047059600,0.8333333333333334,0.072737068965517,0.41,False,False
36047060000,0.75,0.098938513919487,0.35,False,False
36047007000,0.8333333333333334,0.064696892511462,0.25,False,False
36047113200,1.0,0.109048723897912,0.55,True,True
36047035602,0.8571428571428571,0.032019704433497,0.5,True,True
36047037401,0.8333333333333334,0.082048118445404,0.51,False,False
36067001900,0.8333333333333334,0.115489542285541,0.43,False,False
36067005000,0.8333333333333334,0.026206075044669,0.28,False,False
36047029100,0.8333333333333334,0.11600164541341,0.39,False,False
36047041300,0.8333333333333334,0.232876712328767,0.63,False,False
36047041500,0.8,0.203425229741019,0.61,False,False
36047049400,0.8,0.098380468938845,0.59,False,False
36047042300,1.0,0.27822426329889,0.6,True,True
36047044200,1.0,0.06288532675709,0.4,True,True
36047008600,1.0,,,True,True
36047052800,1.0,0.186584425597533,0.43,True,False
36047045200,0.8571428571428571,0.034236804564907,0.35,True,True
36047045800,0.8571428571428571,0.077277970011534,0.14,True,False
36047027900,0.75,0.170534069981584,0.6,False,False
36047118201,0.75,0.137063655030801,0.53,False,False
36047118600,0.875,0.230290456431535,0.42,True,False
36047079602,0.8333333333333334,0.087659574468085,0.55,False,False
36047018400,0.8333333333333334,0.213900862068965,0.48,False,False
36047088400,1.0,0.195700994546038,0.59,True,True
36119000401,0.7142857142857143,0.179141539553033,0.64,False,False
36119001301,0.75,0.169961977186312,0.48,False,False
