GEOID,DAC_Designation,REDC,County,City_Town,NYC_Region,Urban_Rural,Tribal_Designation,Household_Low_Count_Flag,Population_Count,Household_Count,Percentile_Rank_Combined_Statewide,Percentile_Rank_Combined_NYC,Percentile_Rank_Combined_ROS,Combined_Score,Burden_Score_Percentile,Vulnerability_Score_Percentile,Burden_Score,Vulnerability_Score,Benzene_Concentration,Particulate_Matter_25,Traffic_Truck_Highways,Traffic_Number_Vehicles,Wastewater_Discharge,Housing_Vacancy_Rate,Industrial_Land_Use,Landfills,Oil_Storage,Municipal_Waste_Combustors,Power_Generation_Facilities,RMP_Sites,Remediation_Sites,Scrap_Metal_Processing,Agricultural_Land_Use,Coastal_Flooding_Storm_Risk,Days_Above_90_Degrees_2050,Drive_Time_Healthcare,Inland_Flooding_Risk,Low_Vegetative_Cover,Asian_Percent,Black_African_American_Percent,Redlining_Updated,Latino_Percent,English_Proficiency,Native_Indigenous,LMI_80_AMI,LMI_Poverty_Federal,Population_No_College,Household_Single_Parent,Unemployment_Rate,Asthma_ED_Rate,COPD_ED_Rate,Households_Disabled,Low_Birth_Weight,MI_Hospitalization_Rate,Health_Insurance_Rate,Age_Over_65,Premature_Deaths,Internet_Access,Home_Energy_Affordability,Homes_Built_Before_1960,Mobile_Homes,Rent_Percent_Income,Renter_Percent
36001000100,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2035,800,0.994978,0,0.998137,3855.3895,0.995037,0.861268,57.6364,66.8916,0.483162,0.302618,0.905209,0.923287,0.62898,0.79881,0.601327,0,0,0,0,0.993194,0.787092,0,0.447874,0.854089,0.511604,0.626454,0.949929,0.520316,0.437083,0.931495,0.692108,0.560718,0.477451,0.955537,0.845123,0.830019,0.902929,0.950193,0.883281,0.87387,0.800715,0.867364,0.895629,0.338455,0.699832,0.258004,0.087871,0.630097,0.584973,0.448536,0,0.623305,0.77366
36001000200,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4793,2213,0.900816,0,0.957899,2531.3974,0.707403,0.897677,36.3711,69.5991,0.497331,0.305916,0.704597,0.632362,0.633631,0.937327,0.809409,0,0,0,0,0.976696,0,0,0.029858,0.151487,0.511604,0.311288,0.246121,0.54206,0.426856,0.961439,1,0.248363,0.207598,0.931208,0.971118,0.919196,0.700209,0.988622,0.887907,0.925794,0.945974,0.480335,0.951056,0.446853,0.748321,0.043315,0.991591,0.754729,0.584973,0.40251,0,0.749788,0.873744
36001000300,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,6147,2362,0.912325,0,0.963487,2579.4706,0.846567,0.817535,40.5305,63.6427,0.48501,0.313544,0.890092,0.774261,0.409302,0.892076,0.562123,0,0,0,0,0.932357,0.574184,0.747312,0.276822,0.035316,0.511604,0.184119,0.399859,0.496596,0.781458,0.840801,0.692849,0.540444,0.206618,0.357103,0.801591,0.805108,0.551046,0.937742,0.953102,0.87387,0.800715,0.814644,0.895629,0.338455,0.502729,0.500105,0.087871,0.555275,0.584973,0.569247,0,0.801695,0.704774
36001000401,Not Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2362,997,0.495083,0,0.692996,1521.847,0.70823,0.361582,36.3892,41.8214,0.427515,0.294991,0.985904,0.652903,0.533453,0.677289,0,0.939394,0,0,0,0.276964,0.574184,0,0.433198,0,0.488396,0.359869,0.169958,0.355809,0.386839,0.53059,,0.262513,0.269853,0.307327,0.422352,0.40381,0.223222,0.101975,0.162566,0.87387,0.800715,0.9841,0.895629,0.338455,0.578715,0.99728,0.087871,0.548129,0.063206,0.01046,0,0.786229,0.441374
36001000403,Not Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4253,2186,0.405315,0,0.602832,1341.1358,0.236973,0.550952,26.9854,49.6986,0.467146,0.313337,0.51665,0.716202,0,0.584661,0,0,0,0,0,0.791091,0,0,0.018725,0,0.511604,0.574607,0,0.466725,0.668742,0.633779,0.179326,0.317423,0.560539,0.846477,0.638342,0.490685,0.117573,0.082653,0.596635,0.634013,0.5926,0.486402,0.728927,0.356136,0.348657,0.654321,0.624974,0.550862,0.257639,0.832636,0,0.684746,0.545645
36001000404,Not Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,Yes,5082,15,0,0,0,,0.420802,0,30.7355,,0.479877,0.322614,0.897855,0.715364,0,,0,0,0,0,0,0.471644,0,0,0.288462,0,0.511604,0.177383,0.598025,0.486492,,,,,,,,,,,,,,,,,,,,,,,,,
36001000501,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3523,1433,0.607449,0,0.78763,1711.9664,0.223325,0.827579,26.6237,64.3024,0.472485,0.30571,0.39714,0.657724,0,0.726365,0,0,0,0,0,0.919365,0.574184,0,0,0,0.511604,0.178812,0,0.664617,0.264117,0.841879,0.158948,0.734952,0.711765,0.519295,0.913981,0.920033,0.694561,0.942035,0.73123,0.634013,0.5926,0.515272,0.728927,0.356136,0.686608,0.15882,0.624974,0.878731,0.584973,0.480544,0,0.636441,0.849456
36001000502,Not Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3785,942,0.331032,0,0.514903,1214.3606,0.124897,0.572714,24.0068,50.5841,0.473306,0.310039,0.358121,0.547265,0,0.596771,0,0,0,0,0,0.90431,0.574184,0,0,0,0.511604,0.190243,0,0.473973,0.744331,0.714994,0.212301,0.500528,0.433088,0.315436,0.696944,0.806782,0.098745,0.591456,0.847529,0.579987,0.751524,0.27887,0.732901,0.176384,0.377414,0.010253,0.55308,0.24422,0.257639,0.779498,0,0.570975,0.694514
36001000600,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3663,1408,0.8077,0,0.912072,2171.0895,0.330232,0.957732,29.0363,74.7717,0.482341,0.307772,0.359551,0.635297,0.481574,0.891651,0,0,0,0,0,0.94535,0,0,0,0,0.511604,0.262298,0,0.738195,0.833259,0.809349,0.732123,0.584794,0.530637,0.462808,0.926957,0.991627,0.804184,0.866681,0.975605,0.949968,0.939878,0.609205,0.847731,0.708272,0.736986,0.007742,0.996426,0.320933,0.825241,0.698745,0.357379,0.902966,0.925042
36001000700,Designated as a Draft DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3885,1485,0.959406,0,0.980253,2930.7045,0.793424,0.968403,38.6996,75.7296,0.491992,0.306741,0.747906,0.505345,0.562791,0.938602,0.445718,0,0,0,0,0.958548,0,0,0.38664,0.1171,0.511604,0.311288,0.468265,0.499231,0.148955,0.948729,1,0.475818,0.347304,0.858221,0.963583,0.920452,0.837657,0.969944,0.982334,0.949968,0.939878,0.96318,0.847731,0.708272,0.662678,0.257585,0.996426,0.777217,0.584973,0.888075,0,0.866525,0.790201
