Census Tract, Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0
Percentile Range",Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6019001100,2760,Fresno ,93706,Fresno,-119.7816961,36.7096952,94.61,100.00,95-100% (highest scores),0.060,83.67,13.90634758,97.71,1.123,98.72,721.18,75.50,92.13,98.07,1.44,45.38,48953.20052,99.84,1037.095744,60.38,89.85,98.91,54.25,91.52,2.65,92.22,0,0.00,6,79.63,79.09,9.73,99.93,129.54,97.22,7.8,95.62,21.47,92.25,45.1,92.87,18,83.11,76.6,98.43,16.2,97.15,30.7,90.61,93.73,9.72,99.87
6077000700,4177,San Joaquin,95206,Stockton,-121.2878729,37.9431727,90.83,99.99,95-100% (highest scores),0.045,41.24,11.88408494,72.59,0.538,91.15,388.77,33.04,85.18,93.53,71.02,75.04,5574.027466,92.66,856.395935,48.29,72.3,98.36,95,96.59,1.05,82.47,14,93.40,8.6,87.79,76.20,9.38,99.76,105.88,94.22,6.88,88.72,20.26,88.12,48.9,95.42,31.9,96.34,70.6,96.43,18.5,98.45,35.2,95.61,93.40,9.68,99.84
6077000100,4055,San Joaquin,95202,Stockton,-121.2853628,37.953996,85.75,99.97,95-100% (highest scores),0.045,40.40,11.87572931,72.20,0.520,90.63,388.77,33.04,77.83,87.28,18.10,64.83,3060.288513,81.50,287.4559495,7.61,57.35,97.03,81.8,95.75,1.05,82.47,14,93.40,8.5,87.61,70.21,8.64,98.77,238.03,99.96,9.72,99.36,20.57,89.13,45.7,93.37,22.1,88.77,81.8,99.50,17.9,98.17,36.4,96.51,95.71,9.92,99.97
6071001600,5527,San Bernardino,91761,Ontario,-117.6180131,34.0577805,83.56,99.96,95-100% (highest scores),0.063,93.74,13.78516102,97.40,0.419,86.01,839.24,91.07,92.36,98.22,0.41,34.20,13944.63346,98.83,842.733027,47.28,56,96.86,36.5,84.86,2.825,92.87,4,44.59,10,91.03,81.24,10.00,100.00,60.88,70.10,5.62,67.37,18.57,82.90,52.2,96.81,34.1,97.11,67.1,94.82,6.7,57.20,32.1,92.65,80.59,8.36,93.06
6037204920,2639,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,82.90,99.95,95-100% (highest scores),0.047,49.02,12.25164028,89.21,0.781,96.55,766.84,83.98,93.25,98.72,0.00,0.00,7537.026855,95.35,2522.622269,92.84,48.4,96.04,20.7,70.16,12.125,99.10,7,68.85,4,69.33,77.37,9.52,99.86,76.1,82.76,7.11,90.89,20.87,90.15,50.8,96.16,21.8,88.44,64.9,93.51,5.6,43.81,25,77.95,83.95,8.70,95.78
6019000700,3646,Fresno ,93706,Fresno,-119.8277069,36.7345353,80.82,99.94,95-100% (highest scores),0.060,84.09,13.52093888,95.88,0.174,57.09,721.18,75.50,70.46,79.44,53.77,73.14,3021.546631,81.04,690.502159,35.28,16.5,79.86,9.5,46.27,2.25,90.57,0,0.00,5.1,75.35,67.92,8.36,98.06,139.45,98.24,10.65,99.78,22.68,94.57,44.1,92.16,17.7,82.56,62,91.21,11,86.17,32.1,92.65,93.24,9.67,99.81
6019001000,4231,Fresno ,93706,Fresno,-119.804314,36.6977507,80.24,99.92,95-100% (highest scores),0.060,83.07,13.55379682,96.02,0.097,36.19,779.04,84.95,66.50,74.56,1686.14,91.83,5062.849934,91.63,243.2723063,5.70,15.45,77.82,20,69.27,0.25,58.79,0,0.00,5,75.16,65.73,8.09,96.96,139.35,98.23,8.76,98.40,22.68,94.57,44.6,92.53,21.9,88.53,77.7,98.74,16.8,97.60,33.2,93.85,95.66,9.92,99.96
6077000300,2240,San Joaquin,95203,Stockton,-121.3020724,37.952421,80.02,99.91,95-100% (highest scores),0.045,40.80,11.66075863,64.78,0.771,96.42,388.77,33.04,59.60,64.99,169.73,79.87,4290.638734,89.66,726.7471757,38.36,91.15,98.96,138.3,98.11,1.1,83.09,14,93.40,3.7,65.85,71.62,8.82,99.10,154.59,99.13,6.15,78.21,17.19,77.12,36,85.32,25.2,92.30,70.2,96.31,19.1,98.72,25.3,78.75,87.55,9.08,98.17
6019000200,2870,Fresno ,93706,Fresno,-119.8055044,36.7354914,79.89,99.90,95-100% (highest scores),0.061,84.80,13.81895941,97.47,1.390,99.30,721.18,75.50,77.03,86.37,9.20,60.21,3996.600016,88.52,909.6508821,52.26,16,79.15,28.25,78.72,0.1,41.46,0,0.00,0,0.00,66.99,8.25,97.52,139.08,98.17,10.25,99.67,22.64,94.43,39,88.16,15.6,78.04,75.6,98.23,12.2,89.95,32.4,93.01,93.45,9.69,99.85
6065030502,2092,Riverside ,92507,Riverside,-117.3560514,33.9857419,78.85,99.89,95-100% (highest scores),0.066,97.52,12.37134098,90.33,0.891,97.49,668.24,64.80,89.25,96.17,8.61,59.71,1679.460002,70.35,1566.079784,79.41,23.5,87.05,33.5,83.17,0.675,77.08,0,0.00,0.2,8.40,71.70,8.82,99.13,60.49,69.59,7.89,96.02,17.44,78.08,48.1,94.92,25.7,92.77,59.9,89.64,17,97.71,26,80.57,86.18,8.93,97.36
6037226002,1754,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,78.56,99.87,95-100% (highest scores),0.047,49.37,12.25156535,89.20,0.704,95.46,766.84,83.98,72.62,81.72,0.00,0.00,5855.450034,93.21,1931.043768,85.94,52.05,96.52,28,78.66,7.78,97.86,7,68.85,7.05,83.49,76.60,9.43,99.84,134.16,97.66,5.83,71.64,14.79,65.09,30.7,80.07,25.9,92.86,54,83.82,9.8,80.80,24.2,75.42,80.36,8.33,92.86
6037206050,2010,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,78.23,99.86,95-100% (highest scores),0.047,49.51,12.41537427,90.54,1.141,98.79,766.84,83.98,63.53,70.63,0.00,0.00,4209.243327,89.35,3665.685846,98.11,40.35,94.56,15.5,61.64,12.11,99.08,7,68.85,18.4,97.64,76.53,9.42,99.81,51.49,58.47,10.32,99.70,12.45,50.12,44.7,92.64,25.6,92.73,70.6,96.43,9.7,80.33,31.4,91.73,80.10,8.31,92.56
6037531302,6142,Los Angeles,90023,Los Angeles,-118.1827241,34.0169019,77.40,99.85,95-100% (highest scores),0.047,49.93,12.21812171,88.66,0.584,92.52,824.22,90.05,95.20,99.56,0.00,0.00,8922.873047,96.93,2649.188078,93.79,47.95,95.99,13.6,57.11,3.505,94.16,7,68.85,1.25,36.51,74.46,9.17,99.63,62.39,71.73,5.75,69.99,17.48,78.25,51.2,96.29,30.9,95.86,56.2,85.90,10.2,82.72,28.9,87.15,81.46,8.45,93.81
6019001202,4934,Fresno ,93725,Fresno,-119.7410277,36.7026849,77.32,99.84,95-100% (highest scores),0.060,83.29,13.96606425,97.90,0.203,62.55,940.01,96.76,60.21,66.00,8.42,59.46,4287.983439,89.63,438.594055,16.60,36,93.47,52.25,91.04,1.76,87.37,0,0.00,5,75.16,70.82,8.72,98.94,89.27,89.34,6.83,88.09,14.13,61.13,55.3,97.96,14.3,74.60,71.9,97.15,13.5,93.41,34.3,94.83,85.56,8.87,96.99
6019000400,5958,Fresno ,93721,Fresno,-119.7762091,36.7276563,77.09,99.82,95-100% (highest scores),0.061,84.79,13.88951512,97.69,0.674,94.87,721.18,75.50,91.56,97.81,0.97,41.76,12853.8304,98.68,1162.415629,67.00,24.1,87.71,24.8,75.17,2.1,89.55,0,0.00,0.5,20.37,73.03,8.99,99.39,106.01,94.24,6.12,77.55,18.98,84.18,45.2,92.92,15.6,78.04,77.1,98.57,18.2,98.32,14.3,32.73,82.72,8.58,94.78
6037536104,4072,Los Angeles,90280,South Gate,-118.1782284,33.9448778,77.04,99.81,95-100% (highest scores),0.045,40.98,12.04869771,81.02,0.702,95.42,856.15,92.30,94.48,99.33,0.00,0.00,4162.353353,89.15,2127.781743,88.89,103,99.25,55.1,91.79,4.55,95.21,10,84.20,16.5,96.79,80.07,9.86,99.96,50.83,57.69,5.48,63.90,17.7,79.51,49,95.49,20.5,86.72,43.4,70.74,11.5,87.89,25,77.95,75.39,7.82,86.73
6037543202,5442,Los Angeles,90220,Compton,-118.230032,33.8798617,76.92,99.80,95-100% (highest scores),0.042,30.16,12.21666021,88.64,0.376,83.17,456.59,43.57,91.14,97.56,1.16,43.41,4028.490071,88.62,1575.35455,79.60,19.6,83.78,64.25,93.87,1.75,87.34,7,68.85,0.7,22.56,69.99,8.61,98.71,114.33,95.46,6.32,80.73,18.18,81.31,46.6,93.79,10.1,61.71,58.8,88.66,13.5,93.41,33.9,94.51,86.12,8.93,97.30
6037532302,4819,Los Angeles,90023,Los Angeles,-118.1751711,34.0096885,76.72,99.79,95-100% (highest scores),0.047,49.30,12.15074524,87.07,0.938,97.81,677.20,66.36,92.06,98.05,0.00,0.00,12596.7998,98.62,2783.139002,94.61,138.25,99.71,51.75,90.95,6.78,97.28,7,68.85,3.5,65.31,77.46,9.53,99.88,56.57,64.84,6.38,81.88,18.99,84.21,47.7,94.61,19.4,85.15,55.2,84.96,8.2,70.86,18.9,55.65,77.61,8.05,89.71
6077001900,4969,San Joaquin,95205,Stockton,-121.2605554,37.9516762,75.99,99.77,95-100% (highest scores),0.045,41.03,12.06406621,82.14,0.512,90.37,694.13,68.40,80.72,89.84,12.95,62.50,1711.709971,70.68,681.8709837,34.68,13.2,73.75,48.5,90.10,0.05,26.37,13,92.08,5,75.16,68.80,8.47,98.43,102.71,93.28,5.06,54.12,23.94,96.73,42.6,91.11,20.1,86.17,74.5,97.99,14,94.39,29.7,88.91,86.55,8.97,97.63
6037203300,1982,Los Angeles,90033,Los Angeles,-118.2077883,34.0588723,75.98,99.76,95-100% (highest scores),0.048,54.67,12.57687534,91.57,1.053,98.41,774.24,84.42,71.00,80.04,0.00,0.00,2455.516642,76.61,2125.866346,88.83,16.95,80.39,57.15,92.32,1.245,84.24,13,92.08,0.5,20.37,72.51,8.92,99.29,65.53,74.85,6.16,78.36,13.45,57.13,51.4,96.40,31.3,96.03,73,97.49,NA,NA,28.6,86.53,82.11,8.51,94.41
6037239330,2689,Los Angeles,90001,Los Angeles,-118.2631029,33.9783876,75.70,99.75,95-100% (highest scores),0.045,41.58,12.14625901,86.88,0.203,62.51,766.84,83.98,93.50,98.88,0.00,0.00,2984.993327,80.73,1230.505058,69.83,75.5,98.50,27.75,78.34,0.3,61.73,0,0.00,6.5,81.10,65.01,8.00,96.54,113.45,95.31,6.68,86.16,27.79,99.02,57.1,98.38,15.5,77.63,68,95.28,9,76.23,38,97.46,91.25,9.46,99.34
6019000902,4791,Fresno ,93706,Fresno,-119.8042772,36.717769,75.56,99.74,95-100% (highest scores),0.060,83.86,13.68294343,96.79,0.256,71.00,721.18,75.50,63.43,70.51,2634.44,94.16,17236.10368,99.22,347.2769377,10.86,13.1,73.51,14,57.81,0,0.00,0,0.00,4.1,69.62,63.55,7.82,95.62,139.35,98.23,10.18,99.63,22.68,94.57,49.5,95.64,24.5,91.51,84.8,99.72,8.3,71.54,28.3,85.85,93.16,9.66,99.79
6037291220,3647,Los Angeles,90247,Gardena,-118.286709,33.8771395,75.25,99.72,95-100% (highest scores),0.041,27.16,12.0660607,82.35,0.637,94.08,780.36,85.14,66.24,74.23,57.87,73.67,5292.380045,92.15,3455.239256,97.63,15.35,77.67,53.3,91.29,6.465,97.03,15,94.83,4,69.33,80.88,9.95,99.99,64.77,74.05,7.77,95.43,12.99,53.75,30.1,79.38,20.6,86.82,49.8,78.99,4.2,25.84,28.4,86.02,72.91,7.56,83.46
6037535400,3345,Los Angeles,90002,Los Angeles,-118.2314205,33.947117,75.07,99.71,95-100% (highest scores),0.044,39.29,12.07139901,82.66,0.270,73.06,865.02,92.83,85.03,93.43,0.00,0.00,3299.523275,83.93,994.4754349,57.49,109.45,99.42,59,92.84,0.55,72.76,0,0.00,2,51.98,64.69,7.96,96.30,101.27,92.97,6.51,83.69,25.19,97.77,52.5,96.93,23.7,90.70,60.2,89.90,8.9,75.65,41.3,98.72,90.93,9.43,99.26
